rank,word,frequent
1,反映,10222
2,请,10099
3,市民,9762
4,的,7704
5,道,6128
6,号,5600
7,自来水,5085
8,此处,5000
9,水,4661
10,有,4635
11,家中,3703
12,楼门,3265
13,情况,3235
14,河东区,3188
15,尽快,3161
16,路,2959
17,维修,2897
18,跑,2714
19,到户,2632
20,河西区,2585
21,河北区,2576
22,此,2574
23,上,2543
24,部门,2501
25,相关,2246
26,门前,2223
27,漏水,2202
28,南开区,2172
29,抄表,2155
30,里,2130
31,了,2030
32,楼,1996
33,与,1943
34,不,1940
35,严重,1820
36,已,1731
37,位置,1711
38,附近,1705
39,解决,1703
40,核查,1655
41,联系,1648
42,核实,1636
43,从,1633
44,交口,1626
45,截门,1579
46,是,1578
47,水压,1530
48,圆形,1519
49,排查,1495
50,邻居,1485
51,井盖,1481
52,压低,1453
53,井,1390
54,来电,1385
55,查看,1339
56,清楚,1334
57,停水,1322
58,调查,1292
59,一个,1285
60,小区,1234
61,没有,1231
62,月,1188
63,红桥区,1186
64,称,1140
65,冒,1124
66,和平区,1117
67,回复,1108
68,及时,1098
69,在,1088
70,自来水管,1086
71,内,1055
72,电话,1034
73,一,1024
74,无水,1019
75,也,1000
76,到,977
77,大街,969
78,但,949
79,门口,930
80,丢失,920
81,邻居家,885
82,问题,882
83,小,872
84,都,855
85,楼道,846
86,持续,845
87,日,821
88,设施,811
89,正常,804
90,井内,783
91,地面,778
92,时间,775
93,水表,768
94,外,736
95,工单,736
96,左右,728
97,提供,719
98,管道,689
99,马路,687
100,单位,665
101,无法,662
102,消防栓,659
103,现场,653
104,已经,644
105,机动车道,635
106,门楼,631
107,后,621
108,一口,620
109,水流,618
110,原因,618
111,为,607
112,公寓,597
113,处,596
114,低,593
115,号楼,583
116,、,580
117,表井,578
118,同号,569
119,无,566
120,很,564
121,用水,557
122,门,556
123,清水,550
124,工作人员,545
125,花园,530
126,便,521
127,现在,510
128,南路,510
129,开始,500
130,过,488
131,房,488
132,总,485
133,方向,482
134,发现,477
135,就,472
136,居民,470
137,施工,462
138,井井,460
139,已抄表,460
140,不详,453
141,希望,448
142,一直,445
143,沽,445
144,道路,440
145,集团,440
146,盖,433
147,管网,431
148,现,431
149,和,408
150,对面,407
151,之间,405
152,旁边,404
153,导致,401
154,有人,400
155,井跑,394
156,楼前,381
157,园号,381
158,再次,381
159,具体,380
160,要求,378
161,人,376
162,未,374
163,卫国,373
164,造成,370
165,非常,356
166,马路上,354
167,里门,353
168,相同,347
169,一楼,339
170,室,338
171,前,335
172,供水,333
173,派出所,333
174,表井内,327
175,突然,327
176,产权,324
177,告知,323
178,其,321
179,物业,315
180,大道,315
181,与其,307
182,楼下,306
183,一样,304
184,用户,301
185,黑牛,301
186,周围,299
187,一号,299
188,路上,298
189,桥,295
190,归档,294
191,并,293
192,城道,291
193,时,289
194,使用,287
195,解放南路,281
196,关闭,277
197,网,277
198,由于,275
199,私产,274
200,更换,272
201,不能,269
202,金钟,269
203,丁字,268
204,地下,268
205,西里,267
206,院内,267
207,故,267
208,人员,264
209,北路,262
210,解释,260
211,向,258
212,失灵,255
213,往外,253
214,公产,252
215,王,250
216,单,250
217,串场,250
218,出现,248
219,将,248
220,影响,248
221,中,247
222,真理,246
223,较,245
224,水道,243
225,东里,240
226,上门,239
227,抢修,239
228,大沽,237
229,认可,237
230,如此,235
231,望,235
232,信息,234
233,年,231
234,同,230
235,新,229
236,河,228
237,中山门,227
238,河北,226
239,两个,226
240,整个,225
241,房龄,223
242,富民路,221
243,咸阳,220
244,且,220
245,底商,219
246,被,219
247,家园,219
248,需要,218
249,芥园,218
250,什么,217
251,表示,217
252,可能,217
253,开启,215
254,往,213
255,居委会,213
256,公司,213
257,现象,211
258,塌陷,211
259,之前,210
260,同层,209
261,可,208
262,帮助,208
263,万,206
264,水质,205
265,再,201
266,向上,201
267,今天,201
268,地点,200
269,几乎,199
270,一段时间,198
271,报警,197
272,中间,195
273,站,195
274,大桥,195
275,二次,195
276,东路,194
277,拆迁,192
278,冒水,192
279,上述,192
280,派,192
281,西道,189
282,失效,188
283,成林,187
284,长江,186
285,珠江,185
286,姓名,184
287,红旗,184
288,已有,183
289,桥下,183
290,红星路,181
291,至今,180
292,南,180
293,经,180
294,经过,179
295,南开,179
296,网跑,178
297,铁管,178
298,立交桥,176
299,下,176
300,给,175
301,友谊路,175
302,津塘路,175
303,表,174
304,热水器,174
305,立管,174
306,近,172
307,同工,171
308,建昌,171
309,还是,171
310,不好,169
311,靠近,168
312,三,168
313,非机动车,167
314,区内,165
315,山路,165
316,是否,164
317,街,164
318,六纬路,162
319,靖江,162
320,大,161
321,怀疑,161
322,后面,160
323,大直,159
324,入户,157
325,该,157
326,特别,156
327,正在,155
328,住户,155
329,西路,153
330,转,153
331,一个月,153
332,华里,151
333,金纬路,151
334,名称,150
335,新村,150
336,气象台,149
337,医院,149
338,点,148
339,目前,147
340,报修,146
341,找,144
342,南里,144
343,进行,143
344,超市,143
345,北里,142
346,园里,142
347,旁,141
348,服务,141
349,恢复,141
350,很小,141
351,其他,140
352,高峰,140
353,四,140
354,津塘,139
355,津滨,138
356,好,137
357,并且,137
358,经路,137
359,督办,137
360,天泰路,136
361,去,135
362,对,135
